C0 (10266 genes)	C1 (10322 genes)
TRINITY_DN117580_c0_g1	TRINITY_DN11810_c0_g1
TRINITY_DN117591_c0_g1	TRINITY_DN118149_c0_g1
TRINITY_DN117599_c0_g1	TRINITY_DN118156_c0_g1
TRINITY_DN117628_c0_g1	TRINITY_DN118163_c0_g1
TRINITY_DN117659_c0_g1	TRINITY_DN118197_c0_g1
TRINITY_DN117682_c0_g1	TRINITY_DN11820_c0_g2
TRINITY_DN117688_c0_g1	TRINITY_DN118216_c0_g1
TRINITY_DN117693_c0_g1	TRINITY_DN118282_c0_g1
TRINITY_DN117732_c0_g1	TRINITY_DN118300_c0_g1
TRINITY_DN117736_c0_g1	TRINITY_DN118312_c0_g1
TRINITY_DN117741_c0_g1	TRINITY_DN118317_c0_g1
TRINITY_DN117742_c0_g1	TRINITY_DN118333_c0_g1
TRINITY_DN11776_c0_g2	TRINITY_DN118341_c0_g1
TRINITY_DN117806_c0_g1	TRINITY_DN118396_c0_g1
TRINITY_DN117808_c0_g1	TRINITY_DN118434_c0_g1
TRINITY_DN117815_c0_g1	TRINITY_DN118446_c0_g1
TRINITY_DN11781_c0_g1	TRINITY_DN118456_c0_g1
TRINITY_DN117834_c0_g1	TRINITY_DN118517_c0_g1
TRINITY_DN117872_c0_g1	TRINITY_DN118523_c0_g1
TRINITY_DN117908_c0_g1	TRINITY_DN118549_c0_g1
TRINITY_DN117941_c0_g1	TRINITY_DN118561_c0_g1
TRINITY_DN117944_c0_g1	TRINITY_DN118596_c0_g1
TRINITY_DN117951_c0_g1	TRINITY_DN118621_c0_g1
TRINITY_DN117994_c0_g1	TRINITY_DN118682_c0_g1
TRINITY_DN1179_c1_g2	TRINITY_DN118715_c0_g1
TRINITY_DN118006_c0_g1	TRINITY_DN118743_c0_g1
TRINITY_DN118010_c0_g1	TRINITY_DN118775_c0_g1
TRINITY_DN118011_c0_g1	TRINITY_DN118781_c0_g1
TRINITY_DN118074_c0_g1	TRINITY_DN11882_c0_g1
TRINITY_DN118085_c0_g1	TRINITY_DN118866_c0_g1
TRINITY_DN11808_c3_g1	TRINITY_DN118891_c0_g1
TRINITY_DN118090_c0_g1	TRINITY_DN118894_c0_g1
TRINITY_DN118093_c0_g1	TRINITY_DN118948_c0_g1
TRINITY_DN118097_c0_g1	TRINITY_DN118962_c0_g1
TRINITY_DN118107_c0_g1	TRINITY_DN118985_c0_g1
TRINITY_DN118108_c0_g1	TRINITY_DN118991_c0_g1
TRINITY_DN118110_c0_g1	TRINITY_DN119021_c0_g1
TRINITY_DN118119_c0_g1	TRINITY_DN119047_c0_g1
TRINITY_DN118129_c0_g1	TRINITY_DN119090_c0_g1
TRINITY_DN118131_c0_g1	TRINITY_DN119115_c0_g1
TRINITY_DN118133_c0_g1	TRINITY_DN119126_c0_g1
TRINITY_DN118171_c0_g1	TRINITY_DN119142_c0_g1
TRINITY_DN118178_c0_g1	TRINITY_DN119181_c0_g1
TRINITY_DN118194_c0_g1	TRINITY_DN119216_c0_g1
TRINITY_DN118198_c0_g1	TRINITY_DN119308_c0_g1
TRINITY_DN118202_c0_g1	TRINITY_DN119371_c0_g1
TRINITY_DN118213_c0_g1	TRINITY_DN119468_c0_g1
TRINITY_DN118229_c0_g1	TRINITY_DN119474_c0_g1
TRINITY_DN118232_c0_g1	TRINITY_DN119485_c0_g1
TRINITY_DN118238_c0_g1	TRINITY_DN119513_c0_g1
TRINITY_DN118257_c0_g1	TRINITY_DN119515_c0_g1
TRINITY_DN118261_c0_g1	TRINITY_DN119529_c0_g1
TRINITY_DN118279_c0_g1	TRINITY_DN119535_c0_g1
TRINITY_DN118286_c0_g1	TRINITY_DN119542_c0_g1
TRINITY_DN118367_c0_g1	TRINITY_DN119554_c0_g1
TRINITY_DN118387_c0_g1	TRINITY_DN119555_c0_g1
TRINITY_DN118397_c0_g1	TRINITY_DN119563_c0_g1
TRINITY_DN118412_c0_g1	TRINITY_DN119570_c0_g1
TRINITY_DN118415_c0_g1	TRINITY_DN119577_c0_g1
TRINITY_DN118416_c0_g1	TRINITY_DN119585_c0_g1
TRINITY_DN118417_c0_g1	TRINITY_DN119595_c0_g1
TRINITY_DN118424_c0_g1	TRINITY_DN119601_c0_g1
TRINITY_DN118429_c0_g1	TRINITY_DN119607_c0_g1
TRINITY_DN11842_c2_g1	TRINITY_DN119615_c0_g1
TRINITY_DN118430_c0_g1	TRINITY_DN119617_c0_g1
TRINITY_DN118433_c0_g1	TRINITY_DN119659_c0_g1
TRINITY_DN118439_c0_g1	TRINITY_DN119671_c0_g1
TRINITY_DN118440_c0_g1	TRINITY_DN119673_c0_g1
TRINITY_DN118443_c0_g1	TRINITY_DN119681_c0_g1
TRINITY_DN118444_c0_g1	TRINITY_DN119682_c0_g1
TRINITY_DN118451_c0_g1	TRINITY_DN119692_c0_g1
TRINITY_DN118453_c0_g1	TRINITY_DN119701_c0_g1
TRINITY_DN118458_c0_g1	TRINITY_DN119724_c0_g1
TRINITY_DN118460_c0_g1	TRINITY_DN119745_c0_g1
TRINITY_DN118465_c0_g1	TRINITY_DN119760_c0_g1
TRINITY_DN118473_c0_g1	TRINITY_DN119762_c0_g1
TRINITY_DN118475_c0_g1	TRINITY_DN119766_c0_g1
TRINITY_DN118479_c0_g1	TRINITY_DN119767_c0_g1
TRINITY_DN118482_c0_g1	TRINITY_DN119779_c0_g1
TRINITY_DN118488_c0_g1	TRINITY_DN119792_c0_g1
TRINITY_DN118489_c0_g1	TRINITY_DN119842_c0_g1
TRINITY_DN118492_c0_g1	TRINITY_DN119845_c0_g1
TRINITY_DN118501_c0_g1	TRINITY_DN119852_c0_g1
TRINITY_DN118506_c0_g1	TRINITY_DN119854_c0_g1
TRINITY_DN118510_c0_g1	TRINITY_DN119862_c0_g1
TRINITY_DN118511_c0_g1	TRINITY_DN119865_c0_g1
TRINITY_DN118532_c0_g1	TRINITY_DN119875_c0_g1
TRINITY_DN118534_c0_g1	TRINITY_DN119881_c0_g1
TRINITY_DN118535_c0_g1	TRINITY_DN119905_c0_g1
TRINITY_DN118536_c0_g1	TRINITY_DN119906_c0_g1
TRINITY_DN118543_c0_g1	TRINITY_DN119906_c1_g1
TRINITY_DN118546_c0_g1	TRINITY_DN119908_c0_g1
TRINITY_DN118548_c0_g1	TRINITY_DN119920_c0_g1
TRINITY_DN118550_c0_g1	TRINITY_DN119925_c0_g1
TRINITY_DN118559_c0_g1	TRINITY_DN119928_c0_g1
TRINITY_DN118567_c0_g1	TRINITY_DN119935_c0_g1
TRINITY_DN118584_c0_g1	TRINITY_DN119938_c0_g1
TRINITY_DN11858_c0_g3	TRINITY_DN119944_c0_g1
TRINITY_DN11858_c0_g5	TRINITY_DN119952_c0_g1
TRINITY_DN118592_c0_g1	TRINITY_DN119967_c0_g1
TRINITY_DN118593_c0_g1	TRINITY_DN119973_c0_g1
TRINITY_DN11859_c0_g1	TRINITY_DN119984_c0_g1
TRINITY_DN118600_c0_g1	TRINITY_DN119991_c0_g1
TRINITY_DN118610_c0_g1	TRINITY_DN119995_c0_g1
TRINITY_DN118613_c0_g1	TRINITY_DN120006_c0_g1
TRINITY_DN118616_c0_g1	TRINITY_DN120010_c0_g1
TRINITY_DN118624_c0_g1	TRINITY_DN120028_c0_g1
TRINITY_DN118633_c0_g1	TRINITY_DN120042_c0_g1
TRINITY_DN118635_c0_g1	TRINITY_DN120043_c0_g1
TRINITY_DN118638_c0_g1	TRINITY_DN120044_c0_g1
TRINITY_DN118666_c0_g1	TRINITY_DN120064_c0_g1
TRINITY_DN118675_c0_g1	TRINITY_DN120071_c0_g1
TRINITY_DN118684_c0_g1	TRINITY_DN120073_c0_g1
TRINITY_DN118686_c0_g1	TRINITY_DN120083_c0_g1
TRINITY_DN118689_c0_g1	TRINITY_DN120094_c0_g1
TRINITY_DN118691_c0_g1	TRINITY_DN120096_c0_g1
TRINITY_DN118696_c0_g1	TRINITY_DN120104_c0_g1
TRINITY_DN118699_c0_g1	TRINITY_DN120109_c0_g1
TRINITY_DN118709_c0_g1	TRINITY_DN120142_c0_g1
TRINITY_DN118710_c0_g1	TRINITY_DN120152_c0_g1
TRINITY_DN118718_c0_g1	TRINITY_DN120155_c0_g1
TRINITY_DN118723_c0_g1	TRINITY_DN120159_c0_g1
TRINITY_DN118725_c0_g1	TRINITY_DN120166_c0_g1
TRINITY_DN118728_c0_g1	TRINITY_DN120186_c0_g1
TRINITY_DN118730_c0_g1	TRINITY_DN120196_c0_g1
TRINITY_DN118734_c0_g1	TRINITY_DN120198_c0_g1
TRINITY_DN118735_c0_g1	TRINITY_DN120200_c0_g1
TRINITY_DN118737_c0_g1	TRINITY_DN120206_c0_g1
TRINITY_DN118741_c0_g1	TRINITY_DN120210_c0_g1
TRINITY_DN118745_c0_g1	TRINITY_DN120220_c0_g1
TRINITY_DN118746_c0_g1	TRINITY_DN120252_c0_g1
TRINITY_DN118747_c0_g1	TRINITY_DN120253_c0_g1
TRINITY_DN118748_c0_g1	TRINITY_DN120266_c0_g1
TRINITY_DN118751_c0_g1	TRINITY_DN120278_c0_g1
TRINITY_DN118753_c0_g1	TRINITY_DN120315_c0_g1
TRINITY_DN118765_c0_g1	TRINITY_DN120320_c0_g1
TRINITY_DN118766_c0_g1	TRINITY_DN120323_c0_g1
TRINITY_DN118788_c0_g1	TRINITY_DN120326_c0_g1
TRINITY_DN118789_c0_g1	TRINITY_DN120333_c0_g1
TRINITY_DN118791_c0_g1	TRINITY_DN120334_c0_g1
TRINITY_DN118792_c0_g1	TRINITY_DN120337_c0_g1
TRINITY_DN118794_c0_g1	TRINITY_DN120338_c0_g1
TRINITY_DN118795_c0_g1	TRINITY_DN120340_c0_g1
TRINITY_DN118796_c0_g1	TRINITY_DN120341_c0_g1
TRINITY_DN118803_c0_g1	TRINITY_DN120342_c0_g1
TRINITY_DN118808_c0_g1	TRINITY_DN120343_c0_g1
TRINITY_DN118810_c0_g1	TRINITY_DN120345_c0_g1
TRINITY_DN118819_c0_g1	TRINITY_DN120347_c0_g1
TRINITY_DN118828_c0_g1	TRINITY_DN120355_c0_g1
TRINITY_DN11882_c0_g2	TRINITY_DN120356_c0_g1
TRINITY_DN118830_c0_g1	TRINITY_DN120358_c0_g1
TRINITY_DN118834_c0_g1	TRINITY_DN120359_c0_g1
TRINITY_DN11883_c0_g4	TRINITY_DN12035_c1_g1
TRINITY_DN118840_c0_g1	TRINITY_DN120364_c0_g1
TRINITY_DN118844_c0_g1	TRINITY_DN120371_c0_g1
TRINITY_DN118851_c0_g1	TRINITY_DN120382_c0_g1
TRINITY_DN118855_c0_g1	TRINITY_DN120384_c0_g1
TRINITY_DN118863_c0_g1	TRINITY_DN120392_c0_g1
TRINITY_DN118869_c0_g1	TRINITY_DN120395_c0_g1
TRINITY_DN11886_c1_g1	TRINITY_DN120396_c0_g1
TRINITY_DN118871_c0_g1	TRINITY_DN120405_c0_g1
TRINITY_DN118872_c0_g1	TRINITY_DN120412_c0_g1
TRINITY_DN118878_c0_g1	TRINITY_DN120414_c0_g1
TRINITY_DN118880_c0_g1	TRINITY_DN120416_c0_g1
TRINITY_DN118882_c0_g1	TRINITY_DN120417_c0_g1
TRINITY_DN118903_c0_g1	TRINITY_DN120418_c0_g1
TRINITY_DN118905_c0_g1	TRINITY_DN120419_c0_g1
TRINITY_DN118906_c0_g1	TRINITY_DN120426_c0_g1
TRINITY_DN118910_c0_g1	TRINITY_DN120436_c0_g1
TRINITY_DN118912_c0_g1	TRINITY_DN120437_c0_g1
TRINITY_DN118917_c0_g1	TRINITY_DN120439_c0_g1
TRINITY_DN118919_c0_g1	TRINITY_DN12043_c0_g1
TRINITY_DN118926_c0_g1	TRINITY_DN120445_c0_g1
TRINITY_DN118928_c0_g1	TRINITY_DN12044_c2_g1
TRINITY_DN118938_c0_g1	TRINITY_DN120453_c0_g1
TRINITY_DN118946_c0_g1	TRINITY_DN120454_c0_g1
TRINITY_DN118951_c0_g1	TRINITY_DN120456_c0_g1
TRINITY_DN118952_c0_g1	TRINITY_DN120457_c0_g1
TRINITY_DN118958_c0_g1	TRINITY_DN12046_c0_g1
TRINITY_DN118961_c0_g1	TRINITY_DN120471_c0_g1
TRINITY_DN118965_c0_g1	TRINITY_DN120474_c0_g1
TRINITY_DN118966_c0_g1	TRINITY_DN120475_c0_g1
TRINITY_DN118968_c0_g1	TRINITY_DN120477_c0_g1
TRINITY_DN118973_c0_g1	TRINITY_DN120481_c0_g1
TRINITY_DN118983_c0_g1	TRINITY_DN120484_c0_g1
TRINITY_DN118992_c0_g1	TRINITY_DN120491_c0_g1
TRINITY_DN118997_c0_g1	TRINITY_DN120492_c0_g1
TRINITY_DN119005_c0_g1	TRINITY_DN120495_c0_g1
TRINITY_DN119007_c0_g1	TRINITY_DN120502_c0_g1
TRINITY_DN119030_c0_g1	TRINITY_DN120506_c0_g1
TRINITY_DN119041_c0_g1	TRINITY_DN12050_c1_g1
TRINITY_DN119044_c0_g1	TRINITY_DN120513_c0_g1
TRINITY_DN119051_c0_g1	TRINITY_DN120529_c0_g1
TRINITY_DN119052_c0_g1	TRINITY_DN120534_c0_g1
TRINITY_DN119059_c0_g1	TRINITY_DN120535_c0_g1
TRINITY_DN119065_c0_g1	TRINITY_DN120550_c0_g1
TRINITY_DN119066_c0_g1	TRINITY_DN120552_c0_g1
TRINITY_DN119073_c0_g1	TRINITY_DN120553_c0_g1
TRINITY_DN119074_c0_g1	TRINITY_DN12055_c0_g2
TRINITY_DN119075_c0_g1	TRINITY_DN120564_c0_g1
TRINITY_DN119083_c0_g1	TRINITY_DN120571_c0_g1
TRINITY_DN119094_c0_g1	TRINITY_DN120576_c0_g1
TRINITY_DN119096_c0_g1	TRINITY_DN120579_c0_g1
TRINITY_DN119098_c0_g1	TRINITY_DN120580_c0_g1
TRINITY_DN119100_c0_g1	TRINITY_DN120581_c0_g1
TRINITY_DN119108_c0_g1	TRINITY_DN120585_c0_g1
TRINITY_DN119111_c0_g1	TRINITY_DN120587_c0_g1
TRINITY_DN119119_c0_g1	TRINITY_DN120592_c0_g1
TRINITY_DN119121_c0_g1	TRINITY_DN120602_c0_g1
TRINITY_DN119123_c0_g1	TRINITY_DN120604_c0_g1
TRINITY_DN119124_c0_g1	TRINITY_DN120615_c0_g1
TRINITY_DN119127_c0_g1	TRINITY_DN120616_c0_g1
TRINITY_DN119134_c0_g1	TRINITY_DN120622_c0_g1
TRINITY_DN119147_c0_g1	TRINITY_DN120625_c0_g1
TRINITY_DN119159_c0_g1	TRINITY_DN120631_c0_g1
TRINITY_DN119160_c0_g1	TRINITY_DN120632_c0_g1
TRINITY_DN119163_c0_g1	TRINITY_DN120634_c0_g1
TRINITY_DN119165_c0_g1	TRINITY_DN120637_c0_g1
TRINITY_DN119167_c0_g1	TRINITY_DN120648_c0_g1
TRINITY_DN119169_c0_g1	TRINITY_DN120649_c0_g1
TRINITY_DN119177_c0_g1	TRINITY_DN120658_c0_g1
TRINITY_DN119186_c0_g1	TRINITY_DN120661_c0_g1
TRINITY_DN119187_c0_g1	TRINITY_DN120664_c0_g1
TRINITY_DN119188_c0_g1	TRINITY_DN120672_c0_g1
TRINITY_DN119202_c0_g1	TRINITY_DN120675_c0_g1
TRINITY_DN119207_c0_g1	TRINITY_DN120679_c0_g1
TRINITY_DN119213_c0_g1	TRINITY_DN120680_c0_g1
TRINITY_DN119225_c0_g1	TRINITY_DN120681_c0_g1
TRINITY_DN119232_c0_g1	TRINITY_DN120683_c0_g1
TRINITY_DN119234_c0_g1	TRINITY_DN120684_c0_g1
TRINITY_DN119240_c0_g1	TRINITY_DN120685_c0_g1
TRINITY_DN119244_c0_g1	TRINITY_DN120687_c0_g1
TRINITY_DN119250_c0_g1	TRINITY_DN120692_c0_g1
TRINITY_DN119262_c0_g1	TRINITY_DN120694_c0_g1
TRINITY_DN119281_c0_g1	TRINITY_DN120695_c0_g1
TRINITY_DN119287_c0_g1	TRINITY_DN1206_c4_g1
TRINITY_DN119289_c0_g1	TRINITY_DN120700_c0_g1
TRINITY_DN119290_c0_g1	TRINITY_DN120702_c0_g1
TRINITY_DN119294_c0_g1	TRINITY_DN120707_c0_g1
TRINITY_DN119295_c0_g1	TRINITY_DN120708_c0_g1
TRINITY_DN119317_c0_g1	TRINITY_DN120710_c0_g1
TRINITY_DN119325_c0_g1	TRINITY_DN120711_c0_g1
TRINITY_DN119343_c0_g1	TRINITY_DN120714_c0_g1
TRINITY_DN119344_c0_g1	TRINITY_DN120717_c0_g1
TRINITY_DN119345_c0_g1	TRINITY_DN120720_c0_g1
TRINITY_DN119347_c0_g1	TRINITY_DN120722_c0_g1
TRINITY_DN11934_c0_g2	TRINITY_DN120730_c0_g1
TRINITY_DN11934_c1_g1	TRINITY_DN120733_c0_g1
TRINITY_DN119351_c0_g1	TRINITY_DN120736_c0_g1
TRINITY_DN119354_c0_g1	TRINITY_DN120740_c0_g1
TRINITY_DN119368_c0_g1	TRINITY_DN120742_c0_g1
TRINITY_DN119372_c0_g1	TRINITY_DN120745_c0_g1
TRINITY_DN119387_c0_g1	TRINITY_DN120747_c0_g1
TRINITY_DN119394_c0_g1	TRINITY_DN120757_c0_g1
TRINITY_DN119395_c0_g1	TRINITY_DN120758_c0_g1
TRINITY_DN119397_c0_g1	TRINITY_DN120759_c0_g1
TRINITY_DN119399_c0_g1	TRINITY_DN120762_c0_g1
TRINITY_DN119401_c0_g1	TRINITY_DN120766_c0_g1
TRINITY_DN119408_c0_g1	TRINITY_DN12076_c2_g1
TRINITY_DN119418_c0_g1	TRINITY_DN120770_c0_g1
TRINITY_DN11941_c1_g1	TRINITY_DN120780_c0_g1
TRINITY_DN119432_c0_g1	TRINITY_DN120798_c0_g1
TRINITY_DN119433_c0_g1	TRINITY_DN120811_c0_g1
TRINITY_DN119437_c0_g1	TRINITY_DN120816_c0_g1
TRINITY_DN119440_c0_g1	TRINITY_DN120821_c0_g1
TRINITY_DN119444_c0_g1	TRINITY_DN120826_c0_g1
TRINITY_DN119453_c0_g1	TRINITY_DN120827_c0_g1
TRINITY_DN119458_c0_g1	TRINITY_DN120832_c0_g1
TRINITY_DN119461_c0_g1	TRINITY_DN120833_c0_g1
TRINITY_DN119464_c0_g1	TRINITY_DN120834_c0_g1
TRINITY_DN119465_c0_g1	TRINITY_DN120835_c0_g1
TRINITY_DN119469_c0_g1	TRINITY_DN120836_c0_g1
TRINITY_DN119476_c0_g1	TRINITY_DN120849_c0_g1
TRINITY_DN119482_c0_g1	TRINITY_DN120850_c0_g1
TRINITY_DN119484_c0_g1	TRINITY_DN120854_c0_g1
TRINITY_DN119486_c0_g1	TRINITY_DN120856_c0_g1
TRINITY_DN119491_c0_g1	TRINITY_DN120863_c0_g1
TRINITY_DN119494_c0_g1	TRINITY_DN120869_c0_g1
TRINITY_DN119499_c0_g1	TRINITY_DN120870_c0_g1
TRINITY_DN119500_c0_g1	TRINITY_DN120871_c0_g1
TRINITY_DN119504_c0_g1	TRINITY_DN120872_c0_g1
TRINITY_DN119506_c0_g1	TRINITY_DN120875_c0_g1
TRINITY_DN119519_c0_g1	TRINITY_DN120876_c0_g1
TRINITY_DN119528_c0_g1	TRINITY_DN120886_c0_g1
TRINITY_DN119545_c0_g1	TRINITY_DN120888_c0_g1
TRINITY_DN119564_c0_g1	TRINITY_DN120893_c0_g1
TRINITY_DN11956_c0_g2	TRINITY_DN1208_c1_g1
TRINITY_DN119575_c0_g1	TRINITY_DN120909_c0_g1
TRINITY_DN119581_c0_g1	TRINITY_DN120925_c0_g1
TRINITY_DN11958_c1_g1	TRINITY_DN120939_c0_g1
TRINITY_DN119599_c0_g1	TRINITY_DN120945_c0_g1
TRINITY_DN119605_c0_g1	TRINITY_DN120947_c0_g1
TRINITY_DN119618_c0_g1	TRINITY_DN12098_c0_g4
TRINITY_DN119620_c0_g1	TRINITY_DN1209_c0_g1
TRINITY_DN119624_c0_g1	TRINITY_DN121002_c0_g1
TRINITY_DN119627_c0_g1	TRINITY_DN121003_c0_g1
TRINITY_DN119636_c0_g1	TRINITY_DN121010_c0_g1
TRINITY_DN119638_c0_g1	TRINITY_DN121014_c0_g1
TRINITY_DN119640_c0_g1	TRINITY_DN121021_c0_g1
TRINITY_DN119644_c0_g1	TRINITY_DN121063_c0_g1
TRINITY_DN119668_c0_g1	TRINITY_DN121072_c0_g1
TRINITY_DN119670_c0_g1	TRINITY_DN121076_c0_g1
TRINITY_DN119683_c0_g1	TRINITY_DN121086_c0_g1
TRINITY_DN119685_c0_g1	TRINITY_DN121094_c0_g1
TRINITY_DN119691_c0_g1	TRINITY_DN121106_c0_g1
TRINITY_DN119695_c0_g1	TRINITY_DN121131_c0_g1
TRINITY_DN119699_c0_g1	TRINITY_DN121163_c0_g1
TRINITY_DN11969_c0_g3	TRINITY_DN121179_c0_g1
TRINITY_DN119711_c0_g1	TRINITY_DN121185_c0_g1
TRINITY_DN119720_c0_g1	TRINITY_DN121187_c0_g1
TRINITY_DN119721_c0_g1	TRINITY_DN121215_c0_g1
TRINITY_DN119723_c0_g1	TRINITY_DN121240_c0_g1
TRINITY_DN119730_c0_g1	TRINITY_DN121271_c0_g1
TRINITY_DN119736_c0_g1	TRINITY_DN121274_c0_g1
TRINITY_DN119739_c0_g1	TRINITY_DN1212_c9_g1
TRINITY_DN119743_c0_g1	TRINITY_DN121316_c0_g1
TRINITY_DN119750_c0_g1	TRINITY_DN121327_c0_g1
TRINITY_DN119758_c0_g1	TRINITY_DN121328_c0_g1
TRINITY_DN119783_c0_g1	TRINITY_DN12132_c1_g1
TRINITY_DN119791_c0_g1	TRINITY_DN121333_c0_g1
TRINITY_DN119801_c0_g1	TRINITY_DN121363_c0_g1
TRINITY_DN119802_c0_g1	TRINITY_DN12137_c1_g2
TRINITY_DN119804_c0_g1	TRINITY_DN121395_c0_g1
TRINITY_DN119806_c0_g1	TRINITY_DN121410_c0_g1
TRINITY_DN119808_c0_g1	TRINITY_DN121414_c0_g1
TRINITY_DN119809_c0_g1	TRINITY_DN121419_c0_g1
TRINITY_DN119821_c0_g1	TRINITY_DN121461_c0_g1
TRINITY_DN119827_c0_g1	TRINITY_DN121518_c0_g1
TRINITY_DN119832_c0_g1	TRINITY_DN121527_c0_g1
TRINITY_DN119836_c0_g1	TRINITY_DN121544_c0_g1
TRINITY_DN119847_c0_g1	TRINITY_DN121548_c0_g1
TRINITY_DN119856_c0_g1	TRINITY_DN121559_c0_g1
TRINITY_DN119857_c0_g1	TRINITY_DN121583_c0_g1
TRINITY_DN11985_c0_g1	TRINITY_DN121597_c0_g1
TRINITY_DN119887_c0_g1	TRINITY_DN121603_c0_g1
TRINITY_DN119911_c0_g1	TRINITY_DN121609_c0_g1
TRINITY_DN119912_c0_g1	TRINITY_DN121618_c0_g1
TRINITY_DN119942_c0_g1	TRINITY_DN121641_c0_g1
TRINITY_DN119945_c0_g1	TRINITY_DN121647_c0_g1
TRINITY_DN119970_c0_g1	TRINITY_DN121676_c0_g1
TRINITY_DN119972_c0_g1	TRINITY_DN121698_c0_g1
TRINITY_DN119974_c0_g1	TRINITY_DN121726_c0_g1
TRINITY_DN119987_c0_g1	TRINITY_DN121733_c0_g1
TRINITY_DN119989_c0_g1	TRINITY_DN121736_c0_g1
TRINITY_DN120001_c0_g1	TRINITY_DN121756_c0_g1
TRINITY_DN120013_c0_g1	TRINITY_DN121764_c0_g1
TRINITY_DN120019_c0_g1	TRINITY_DN121807_c0_g1
TRINITY_DN120021_c0_g1	TRINITY_DN121808_c0_g1
TRINITY_DN120023_c0_g1	TRINITY_DN121814_c0_g1
TRINITY_DN120037_c0_g1	TRINITY_DN121830_c0_g1
TRINITY_DN120038_c0_g1	TRINITY_DN121840_c0_g1
TRINITY_DN120039_c0_g1	TRINITY_DN121842_c0_g1
TRINITY_DN120045_c0_g1	TRINITY_DN121845_c0_g1
TRINITY_DN120058_c0_g1	TRINITY_DN12187_c2_g1
TRINITY_DN120065_c0_g1	TRINITY_DN121882_c0_g1
TRINITY_DN12006_c1_g1	TRINITY_DN121884_c0_g1
TRINITY_DN120076_c0_g1	TRINITY_DN121899_c0_g1
TRINITY_DN120079_c0_g1	TRINITY_DN12189_c4_g1
TRINITY_DN120085_c0_g1	TRINITY_DN1218_c1_g1
TRINITY_DN120117_c0_g1	TRINITY_DN121916_c0_g1
TRINITY_DN120144_c0_g1	TRINITY_DN121929_c0_g1
TRINITY_DN120149_c0_g1	TRINITY_DN121930_c0_g1
TRINITY_DN12014_c2_g1	TRINITY_DN121949_c0_g1
TRINITY_DN120156_c0_g1	TRINITY_DN121971_c0_g1
TRINITY_DN120173_c0_g1	TRINITY_DN122004_c0_g1
TRINITY_DN120177_c0_g1	TRINITY_DN122009_c0_g1
TRINITY_DN120187_c0_g1	TRINITY_DN122013_c0_g1
TRINITY_DN120192_c0_g1	TRINITY_DN122018_c0_g1
TRINITY_DN120193_c0_g1	TRINITY_DN122019_c0_g1
TRINITY_DN120197_c0_g1	TRINITY_DN122029_c0_g1
TRINITY_DN1201_c4_g1	TRINITY_DN122036_c0_g1
TRINITY_DN120214_c0_g1	TRINITY_DN122092_c0_g1
TRINITY_DN120218_c0_g1	TRINITY_DN122095_c0_g1
TRINITY_DN120221_c0_g1	TRINITY_DN122099_c0_g1
TRINITY_DN120239_c0_g1	TRINITY_DN12211_c2_g1
TRINITY_DN120247_c0_g1	TRINITY_DN122124_c0_g1
TRINITY_DN120248_c0_g1	TRINITY_DN122131_c0_g1
TRINITY_DN120249_c0_g1	TRINITY_DN122132_c0_g1
TRINITY_DN120268_c0_g1	TRINITY_DN122133_c0_g1
TRINITY_DN120274_c0_g1	TRINITY_DN122169_c0_g1
TRINITY_DN120282_c0_g1	TRINITY_DN122177_c0_g1
TRINITY_DN120285_c0_g1	TRINITY_DN122178_c0_g1
TRINITY_DN120294_c0_g1	TRINITY_DN122182_c0_g1
TRINITY_DN120296_c0_g1	TRINITY_DN122184_c0_g1
TRINITY_DN120306_c0_g1	TRINITY_DN122208_c0_g1
TRINITY_DN120310_c0_g1	TRINITY_DN122216_c0_g1
TRINITY_DN120316_c0_g1	TRINITY_DN122218_c0_g1
TRINITY_DN120328_c0_g1	TRINITY_DN122224_c0_g1
TRINITY_DN120329_c0_g1	TRINITY_DN122229_c0_g1
TRINITY_DN120402_c0_g1	TRINITY_DN122236_c0_g1
TRINITY_DN120410_c0_g1	TRINITY_DN122242_c0_g1
TRINITY_DN12041_c3_g1	TRINITY_DN122252_c0_g1
TRINITY_DN120427_c0_g1	TRINITY_DN122254_c0_g1
TRINITY_DN120443_c0_g1	TRINITY_DN12225_c0_g1
TRINITY_DN120497_c0_g1	TRINITY_DN122285_c0_g1
TRINITY_DN1204_c2_g1	TRINITY_DN122299_c0_g1
TRINITY_DN120504_c0_g1	TRINITY_DN12229_c0_g1
TRINITY_DN120512_c0_g1	TRINITY_DN122302_c0_g1
TRINITY_DN120518_c0_g1	TRINITY_DN122303_c0_g1
TRINITY_DN120578_c0_g1	TRINITY_DN122305_c0_g1
TRINITY_DN120601_c0_g1	TRINITY_DN122332_c0_g1
TRINITY_DN120619_c0_g1	TRINITY_DN122338_c0_g1
TRINITY_DN120640_c0_g1	TRINITY_DN122344_c0_g1
TRINITY_DN120643_c0_g1	TRINITY_DN122353_c0_g1
TRINITY_DN120654_c0_g1	TRINITY_DN122378_c0_g1
TRINITY_DN12067_c3_g1	TRINITY_DN122382_c0_g1
TRINITY_DN120705_c0_g1	TRINITY_DN122404_c0_g1
TRINITY_DN120809_c0_g1	TRINITY_DN122405_c0_g1
TRINITY_DN120825_c0_g1	TRINITY_DN122406_c0_g1
TRINITY_DN120848_c0_g1	TRINITY_DN12241_c0_g6
TRINITY_DN120874_c0_g1	TRINITY_DN122425_c0_g1
