C0 (10266 genes)	C1 (10322 genes)
TRINITY_DN10259_c1_g1	TRINITY_DN102049_c0_g1
TRINITY_DN102674_c0_g1	TRINITY_DN102090_c0_g1
TRINITY_DN102732_c0_g1	TRINITY_DN102104_c0_g1
TRINITY_DN102756_c0_g1	TRINITY_DN102121_c0_g1
TRINITY_DN102765_c0_g1	TRINITY_DN102122_c0_g1
TRINITY_DN102774_c0_g1	TRINITY_DN102131_c0_g1
TRINITY_DN102791_c0_g1	TRINITY_DN102134_c0_g1
TRINITY_DN102840_c0_g1	TRINITY_DN102185_c0_g1
TRINITY_DN102868_c0_g1	TRINITY_DN102186_c0_g1
TRINITY_DN103022_c0_g1	TRINITY_DN102196_c0_g1
TRINITY_DN103034_c0_g1	TRINITY_DN102279_c0_g1
TRINITY_DN103036_c0_g1	TRINITY_DN102283_c0_g1
TRINITY_DN103044_c0_g1	TRINITY_DN10234_c1_g1
TRINITY_DN103048_c0_g1	TRINITY_DN102368_c0_g1
TRINITY_DN103050_c0_g1	TRINITY_DN102383_c0_g1
TRINITY_DN103056_c0_g1	TRINITY_DN102424_c0_g1
TRINITY_DN103057_c0_g1	TRINITY_DN102455_c0_g1
TRINITY_DN103058_c0_g1	TRINITY_DN10246_c0_g2
TRINITY_DN10305_c0_g2	TRINITY_DN102717_c0_g1
TRINITY_DN103070_c0_g1	TRINITY_DN102933_c0_g1
TRINITY_DN103078_c0_g1	TRINITY_DN102934_c0_g1
TRINITY_DN103082_c0_g1	TRINITY_DN102947_c0_g1
TRINITY_DN103083_c0_g1	TRINITY_DN102950_c0_g1
TRINITY_DN103084_c0_g1	TRINITY_DN102951_c0_g1
TRINITY_DN103088_c0_g1	TRINITY_DN10296_c1_g1
TRINITY_DN103098_c0_g1	TRINITY_DN102995_c0_g1
TRINITY_DN103102_c0_g1	TRINITY_DN103000_c0_g1
TRINITY_DN103105_c0_g1	TRINITY_DN103002_c0_g1
TRINITY_DN103113_c0_g1	TRINITY_DN103032_c0_g1
TRINITY_DN103115_c0_g1	TRINITY_DN103074_c0_g1
TRINITY_DN103119_c0_g1	TRINITY_DN103126_c0_g1
TRINITY_DN103127_c0_g1	TRINITY_DN103142_c0_g1
TRINITY_DN103129_c0_g1	TRINITY_DN10316_c1_g1
TRINITY_DN103130_c0_g1	TRINITY_DN103222_c0_g1
TRINITY_DN103134_c0_g1	TRINITY_DN103223_c0_g1
TRINITY_DN103136_c0_g1	TRINITY_DN103266_c0_g1
TRINITY_DN103152_c0_g1	TRINITY_DN103388_c0_g1
TRINITY_DN103154_c0_g1	TRINITY_DN103409_c0_g1
TRINITY_DN103160_c0_g1	TRINITY_DN103466_c0_g1
TRINITY_DN103165_c0_g1	TRINITY_DN103532_c0_g1
TRINITY_DN103166_c0_g1	TRINITY_DN103537_c0_g1
TRINITY_DN103177_c0_g1	TRINITY_DN103580_c0_g1
TRINITY_DN103178_c0_g1	TRINITY_DN103584_c0_g1
TRINITY_DN103182_c0_g1	TRINITY_DN103590_c0_g1
TRINITY_DN103183_c0_g1	TRINITY_DN103617_c0_g1
TRINITY_DN1031_c2_g1	TRINITY_DN103627_c0_g1
TRINITY_DN103208_c0_g1	TRINITY_DN103661_c0_g1
TRINITY_DN103212_c0_g1	TRINITY_DN103732_c0_g1
TRINITY_DN103217_c0_g1	TRINITY_DN103735_c0_g1
TRINITY_DN103228_c0_g1	TRINITY_DN103742_c0_g1
TRINITY_DN103236_c0_g1	TRINITY_DN103751_c0_g1
TRINITY_DN103245_c0_g1	TRINITY_DN103775_c0_g1
TRINITY_DN103253_c0_g1	TRINITY_DN103787_c0_g1
TRINITY_DN103259_c0_g1	TRINITY_DN103789_c0_g1
TRINITY_DN103261_c0_g1	TRINITY_DN103820_c0_g1
TRINITY_DN103262_c0_g1	TRINITY_DN103831_c0_g1
TRINITY_DN103263_c0_g1	TRINITY_DN103850_c0_g1
TRINITY_DN103291_c0_g1	TRINITY_DN103876_c0_g1
TRINITY_DN103292_c0_g1	TRINITY_DN103891_c0_g1
TRINITY_DN103295_c0_g1	TRINITY_DN103895_c0_g1
TRINITY_DN103308_c0_g1	TRINITY_DN103908_c0_g1
TRINITY_DN103312_c0_g1	TRINITY_DN103916_c0_g1
TRINITY_DN103320_c0_g1	TRINITY_DN103958_c0_g1
TRINITY_DN103326_c0_g1	TRINITY_DN103961_c0_g1
TRINITY_DN103329_c0_g1	TRINITY_DN103965_c0_g1
TRINITY_DN103343_c0_g1	TRINITY_DN103969_c0_g1
TRINITY_DN103353_c0_g1	TRINITY_DN103985_c0_g1
TRINITY_DN103357_c0_g1	TRINITY_DN103997_c0_g1
TRINITY_DN103359_c0_g1	TRINITY_DN104002_c0_g1
TRINITY_DN103362_c0_g1	TRINITY_DN104041_c0_g1
TRINITY_DN103368_c0_g1	TRINITY_DN104050_c0_g1
TRINITY_DN103374_c0_g1	TRINITY_DN104074_c0_g1
TRINITY_DN103375_c0_g1	TRINITY_DN10407_c0_g1
TRINITY_DN103390_c0_g1	TRINITY_DN104086_c0_g1
TRINITY_DN103396_c0_g1	TRINITY_DN104090_c0_g1
TRINITY_DN10340_c1_g1	TRINITY_DN104091_c0_g1
TRINITY_DN103415_c0_g1	TRINITY_DN104099_c0_g1
TRINITY_DN103431_c0_g1	TRINITY_DN104100_c0_g1
TRINITY_DN103436_c0_g1	TRINITY_DN104114_c0_g1
TRINITY_DN103439_c0_g1	TRINITY_DN104124_c0_g1
TRINITY_DN103442_c0_g1	TRINITY_DN104126_c0_g1
TRINITY_DN103452_c0_g1	TRINITY_DN104132_c0_g1
TRINITY_DN103453_c0_g1	TRINITY_DN104133_c0_g1
TRINITY_DN103456_c0_g1	TRINITY_DN104145_c0_g1
TRINITY_DN10345_c1_g1	TRINITY_DN104150_c0_g1
TRINITY_DN103461_c0_g1	TRINITY_DN104151_c0_g1
TRINITY_DN103462_c0_g1	TRINITY_DN104160_c0_g1
TRINITY_DN103492_c0_g1	TRINITY_DN104161_c0_g1
TRINITY_DN103493_c0_g1	TRINITY_DN104162_c0_g1
TRINITY_DN103501_c0_g1	TRINITY_DN104167_c0_g1
TRINITY_DN103502_c0_g1	TRINITY_DN104174_c0_g1
TRINITY_DN103515_c0_g1	TRINITY_DN104187_c0_g1
TRINITY_DN103518_c0_g1	TRINITY_DN104190_c0_g1
TRINITY_DN103528_c0_g1	TRINITY_DN104195_c0_g1
TRINITY_DN103529_c0_g1	TRINITY_DN104209_c0_g1
TRINITY_DN103542_c0_g1	TRINITY_DN104215_c0_g1
TRINITY_DN103562_c0_g1	TRINITY_DN104217_c0_g1
TRINITY_DN103571_c0_g1	TRINITY_DN104227_c0_g1
TRINITY_DN103573_c0_g1	TRINITY_DN104237_c0_g1
TRINITY_DN103594_c0_g1	TRINITY_DN104252_c0_g1
TRINITY_DN103603_c0_g1	TRINITY_DN104253_c0_g1
TRINITY_DN103606_c0_g1	TRINITY_DN10425_c0_g2
TRINITY_DN103610_c0_g1	TRINITY_DN104262_c0_g1
TRINITY_DN103613_c0_g1	TRINITY_DN104265_c0_g1
TRINITY_DN103620_c0_g1	TRINITY_DN104266_c0_g1
TRINITY_DN103641_c0_g1	TRINITY_DN104272_c0_g1
TRINITY_DN103642_c0_g1	TRINITY_DN104276_c0_g1
TRINITY_DN10364_c2_g1	TRINITY_DN104278_c0_g1
TRINITY_DN103654_c0_g1	TRINITY_DN104283_c0_g1
TRINITY_DN103682_c0_g1	TRINITY_DN104288_c0_g1
TRINITY_DN103687_c0_g1	TRINITY_DN104291_c0_g1
TRINITY_DN103698_c0_g1	TRINITY_DN104294_c0_g1
TRINITY_DN103699_c0_g1	TRINITY_DN104295_c0_g1
TRINITY_DN103701_c0_g1	TRINITY_DN104305_c0_g1
TRINITY_DN103705_c0_g1	TRINITY_DN104307_c0_g1
TRINITY_DN103708_c0_g1	TRINITY_DN104318_c0_g1
TRINITY_DN103709_c0_g1	TRINITY_DN104322_c0_g1
TRINITY_DN103716_c0_g1	TRINITY_DN104333_c0_g1
TRINITY_DN10371_c1_g1	TRINITY_DN104334_c0_g1
TRINITY_DN103720_c0_g1	TRINITY_DN104342_c0_g1
TRINITY_DN103740_c0_g1	TRINITY_DN104344_c0_g1
TRINITY_DN103753_c0_g1	TRINITY_DN104345_c0_g1
TRINITY_DN103761_c0_g1	TRINITY_DN104347_c0_g1
TRINITY_DN103769_c0_g1	TRINITY_DN104353_c0_g1
TRINITY_DN103785_c0_g1	TRINITY_DN104358_c0_g1
TRINITY_DN103794_c0_g1	TRINITY_DN104362_c0_g1
TRINITY_DN103797_c0_g1	TRINITY_DN104364_c0_g1
TRINITY_DN103803_c0_g1	TRINITY_DN104365_c0_g1
TRINITY_DN103806_c0_g1	TRINITY_DN10436_c2_g1
TRINITY_DN103812_c0_g1	TRINITY_DN104370_c0_g1
TRINITY_DN103814_c0_g1	TRINITY_DN104372_c0_g1
TRINITY_DN103823_c0_g1	TRINITY_DN104380_c0_g1
TRINITY_DN103824_c0_g1	TRINITY_DN104381_c0_g1
TRINITY_DN103830_c0_g1	TRINITY_DN104387_c0_g1
TRINITY_DN103832_c0_g1	TRINITY_DN104397_c0_g1
TRINITY_DN103836_c0_g1	TRINITY_DN104415_c0_g1
TRINITY_DN103842_c0_g1	TRINITY_DN104444_c0_g1
TRINITY_DN103843_c0_g1	TRINITY_DN104447_c0_g1
