	CEL_W	FUK_P	FUK_W	KAT_P	KAT_W	KUR_P	NIS_W	ONO_P
C0	-0.9932395506258187	-1.213818313795006	-0.9567076256912521	-0.3485579714757394	0.34852707420977763	0.9453549288281362	1.2263314465684914	0.9921100119814074
C1	1.0133275572552538	1.2339693509810983	0.9482684489295112	0.31253929943137054	-0.3890869578136526	-0.9813677160111569	-1.233670462099013	-0.9039795206734095
